"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","S1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202//lease_start_window%5Bid%5D/7242/","1","B1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D3","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D1","2","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1585/desired_rent_max/1585","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1665/desired_rent_max/1665","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","S1","2","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987651/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1600/desired_rent_max/1600","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987657/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1585/desired_rent_max/1585","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D1","2","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987655/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1555/desired_rent_max/1555","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","D5","2","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987654/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1585/desired_rent_max/1585","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","A1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D2","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","A1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/354/","1","E3A","3","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354//lease_start_window%5Bid%5D/7242/","1","E3A","3","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/202/","1","B1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D5","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/354/lease_start_window%5Bid%5D/7242/","1","E3A","3","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353/lease_start_window%5Bid%5D/7242/","1","E2","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","S1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","1","D5","2","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987662/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/353/desired_rent_min/1610/desired_rent_max/1610","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987651/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","0","","0","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987661/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1575/desired_rent_max/1575","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987647/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/353//lease_start_window%5Bid%5D/7242/","1","E2","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","1","E1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/353/","1","E2","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987655/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22/lease_start_window%5Bid%5D/7242/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987661/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/lease_start_window%5Bid%5D/7242/space_configuration_id/22/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","B3","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987661/additional_floorplans/1/occupancy_type/student/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","0","","0","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987656/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1565/desired_rent_max/1565","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/202/lease_start_window%5Bid%5D/7242/","1","B1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/lease_term%5Bid%5D/9257/space_configuration_id/22//lease_start_window%5Bid%5D/7242/","1","D3","2","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987647/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1840/desired_rent_max/1840","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987663/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/354/desired_rent_min/1635/desired_rent_max/1635","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d5-987657/fp_name/occupancy_type/student/","1","D5","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/student/lease_term_id/9257/","1","Our Floor Plans","15","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987657/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,585/desired_rent_max/1,585","1","Apply Online","12","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d1-987654/fp_name/occupancy_type/student/","1","D1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b1-987649/fp_name/occupancy_type/student/","1","B1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e3a-987663/fp_name/occupancy_type/student/","1","E3A","3","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e1-987661/fp_name/occupancy_type/student/","1","E1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/b3-987651/fp_name/occupancy_type/student/","1","B3","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/e2-987662/fp_name/occupancy_type/student/","1","E2","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/s1-987664/fp_name/occupancy_type/student/","1","S1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d3-987656/fp_name/occupancy_type/student/","1","D3","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/a1-987647/fp_name/occupancy_type/student/","1","A1","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/d2-987655/fp_name/occupancy_type/student/","1","D2","2","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987662/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987647/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987656/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987661/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987655/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","",""
"https://www.unionknoxville.com/knoxville/union-knoxville/floorplans/action/view_floorplan/property_floorplan%5Bid%5D/987664/additional_floorplans/1/occupancy_type/student/occupancy_type/student/","0","","0","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987663/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/354/desired_rent_min/1,635/desired_rent_max/1,635","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987664/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,665/desired_rent_max/1,665","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987655/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,555/desired_rent_max/1,555","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987662/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/353/desired_rent_min/1,610/desired_rent_max/1,610","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987647/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,840/desired_rent_max/1,840","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987656/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,565/desired_rent_max/1,565","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987649/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/202/desired_rent_min/1,585/desired_rent_max/1,585","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987661/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,575/desired_rent_max/1,575","1","Apply Online","12","",""
"https://www.unionknoxville.com/Apartments/module/application_authentication/popup/false/kill_session/1/property%5Bid%5D/1226406/property_floorplan%5Bid%5D/987651/lease_term_id/9257/lease_start_window_id/7242/space_configuration_id/22/desired_rent_min/1,600/desired_rent_max/1,600","1","Apply Online","12","",""
